,State,GROC16,GROCPTH16,SUPERC16,SUPERCPTH16,CONVS16,CONVSPTH16,SPECS16,SPECSPTH16,WICS16,WICSPTH16,FFR16,FFRPTH16,FSR16,FSRPTH16,SNAP_PART_RATE16,SNAP_OAPP16,SNAP_CAP16,SNAP_BBCE16,SNAP_REPORTSIMPLE16,PC_WIC_REDEMP16,REDEMP_WICS16,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFAC16,RECFACPTH16
22,MI,132.67800538390196,0.18452198290054098,14.514359985892128,0.024760400276846714,275.200765382254,0.4211163444280496,69.7377055011661,0.0918127353728787,144.40135589759518,0.18585647051841653,493.6579162350066,0.6878872880680772,476.4641470112712,0.7158220436128875,99.604,1.0,1.0,1.0,1.0,15.945161049992553,81020.93997677205,31.581833387053223,2.68909985722791,57.205945001401744,0.0792563404039515
23,MN,74.8894090587896,0.17121843061135944,7.479172916581046,0.020091249477089783,121.55319368889757,0.36400526492772745,36.31422369772001,0.08597324870163536,90.56646194406389,0.20585113418428266,321.54452440512733,0.6352591381577809,313.8393689476915,0.7033171441646124,84.002,0.0,0.0,1.0,1.0,15.725510275768874,78603.20109887993,25.419056766055036,2.4973547037744,64.628503158104,0.12035162583938344
24,MS,10.499548237826348,0.14637153603900915,2.031255249643777,0.02378171077666953,52.960048161194095,0.6930358807904385,3.8055709303422884,0.039203642151203456,11.916186697033515,0.17643092718230247,73.75159271264111,0.7439641424617869,54.03588196357927,0.5800184985132602,82.678,1.0,1.0,1.0,1.0,15.766655573680568,225102.1379087298,33.06335568376735,3.3923703724683008,9.122562073795853,0.08574204437116446
25,MO,58.306934728478744,0.17416473899802226,6.602195129684356,0.022986936224925467,119.06648258650155,0.4342306613337834,22.347642587244092,0.05630966646188521,29.676621443444883,0.11400602118589835,267.90717444448626,0.6817965150866382,263.94056465670684,0.7515066067634477,89.25,1.0,0.0,0.0,1.0,13.695971933971009,130453.35180923341,25.120360418170634,2.6797013073555145,40.664726640461964,0.09752820524217247
26,MT,12.215117647567451,0.24251779953832156,1.8287478755609528,0.018298853769789108,26.018037916613427,0.4100934726849518,6.714199659321159,0.07899433959010647,9.153743040353106,0.18566261673283238,54.79624696045493,0.6789486286031398,72.0726771919071,1.0524215617358286,87.122,1.0,0.0,1.0,1.0,12.625811480144609,80452.53985988085,22.87113697844086,2.304088070698559,13.972057802035426,0.15024192442755005
27,NE,37.6222866179344,0.22011052092248068,5.822680757469867,0.025683534597333364,73.36976815444898,0.4360914850857396,18.289302196729775,0.0770772831250758,34.395404936814884,0.19959953021698287,190.0773105328439,0.7166822233063784,177.71296546976689,0.753651106332125,79.952,1.0,0.0,1.0,1.0,15.16969330933335,90910.68657122369,22.570516158676675,2.399804990592856,39.2539991101429,0.1315875444552852
28,NV,156.71031368202722,0.10652301841375493,20.583213004303076,0.014977658384627293,525.0171568190941,0.342333067442562,85.80902412928133,0.053079794721231664,108.49187096298157,0.07516588150361515,1427.5802846934623,0.8296965674058141,1077.5703352864539,0.6726926035111057,83.288,1.0,0.0,1.0,1.0,14.037476990437279,205533.48092771755,29.6351529594325,2.8416030770481684,133.91159926186018,0.09256898117840504
29,NH,39.949810522112706,0.1804922587509798,4.114904724692765,0.018721773950012403,110.83797722391616,0.5188825675702565,18.855046250185307,0.07862597705796377,29.057360361091888,0.1340908970114843,180.88382737137889,0.7548654157924041,223.03297146173233,0.9936560333529012,80.227,1.0,0.0,1.0,1.0,6.145387898633856,47152.88298655409,16.745268724101667,1.237414507431277,45.7534843147173,0.17522659641735788
30,NJ,172.61829028197144,0.2845498877950442,4.644897592161646,0.008469576190521263,153.5340470398611,0.266185080012,75.08393370410285,0.12777443254314083,61.99641952304779,0.1096397813064344,442.32663741887444,0.7576025191978258,491.8035916550266,0.8560086505778653,81.214,1.0,1.0,1.0,1.0,14.504586769511102,126830.17264532766,22.3044773125907,2.066978956236793,89.42354478824535,0.15377039946824841
31,NM,33.0524816405285,0.12227485599549405,6.218385608869313,0.022055731155961253,96.44161499319807,0.3892729745615559,19.613485162622702,0.058525317562844126,26.503576030304256,0.11893239973444776,226.41043172531965,0.69966765068215,184.7393683739737,0.6445921171675629,100.0,1.0,0.0,1.0,1.0,14.976397774761951,140809.57783651893,29.022673414617728,3.151944804966145,28.027702267165967,0.08298371479512746
32,NY,870.4393964765275,0.5257358020401403,4.776818515039695,0.00764546454654738,276.6922861485392,0.30223927088888874,239.3355401133788,0.1494210286245527,292.8781026321241,0.19214331379178087,1140.4992032976559,0.8542900181287568,1310.8869350132518,1.0249063595059336,92.754,1.0,1.0,1.0,1.0,20.50294453627183,107509.07953719774,29.61600139401037,2.6535579716504696,148.9062109486152,0.12153734422215644
33,NC,68.85385469010097,0.18934827058418222,6.8166595596848145,0.019197418011479343,138.7966498695095,0.47898559311501954,20.49336579407501,0.055052763339830765,68.8463265403977,0.2044959776183224,294.190107514474,0.7570450868192405,284.5898280333562,0.7411977896570626,86.26699999999998,1.0,1.0,1.0,1.0,17.891254371476794,89319.14079073454,29.720139943230574,2.9119820927939015,54.30963290264465,0.11048325159466466
34,ND,12.247663892103564,0.24355904289594793,1.951335780463523,0.02384118945409908,26.91507424243027,0.47521909435137794,4.451917073306529,0.06881890252465357,9.300563082955305,0.2417086401915361,50.9231102680045,0.628643633422297,49.536502141570324,0.7557339331089569,62.11400000000001,1.0,0.0,1.0,1.0,12.990697801073182,68558.83566960528,19.50123495206052,2.0625122807017546,10.423327010033764,0.12973269737701978
35,OH,95.59622734949015,0.17579066225287507,7.637386427833324,0.019787398493709026,194.55505254274536,0.4017877126987906,33.40306908386702,0.057650296158700515,53.620173282293095,0.11774814245873062,418.9034883789888,0.7999671797365534,349.75694462648613,0.6496407012254668,84.903,1.0,0.0,1.0,1.0,13.92651958522142,124429.92621803259,25.42507229462864,2.4659479756396103,54.44898957052267,0.09671941843134994
36,OK,58.78538742666044,0.15605435480622287,7.780638484209282,0.0262695691177752,108.05987874509552,0.46689771462055707,16.591096649688332,0.04438694699430601,28.907975233582622,0.11969127712801579,273.07074289320303,0.7067620782737049,252.82818902767136,0.689849978976767,81.637,1.0,0.0,1.0,1.0,11.066421316718985,96480.29106199728,31.471627203575384,3.484383424022387,34.15586783943746,0.07932836802984514
37,OR,64.36016340600928,0.18132139486373772,12.55838900289485,0.037436882015898704,132.53850707483298,0.36680465529559997,36.74936378807862,0.09055027148683117,45.34773069803036,0.13696317809417025,293.99469668602757,0.7176664990114027,427.7123742852087,1.0377338932480302,100.0,1.0,0.0,1.0,1.0,13.531423244148035,104212.27870401212,30.298753022616275,2.754023192635804,48.00346946916022,0.11553456881399049
38,PA,151.41382620366912,0.20751671880220116,5.383034336816615,0.012667960752638277,182.11996991756115,0.34044299674833667,55.99752173459335,0.08781725377884324,133.96348624301035,0.16223990480444672,466.6203883463248,0.7201223001300121,440.14288634335816,0.7424999399278926,98.88000000000001,1.0,1.0,1.0,1.0,14.15681234191502,100603.13640380424,25.43070789450853,2.15345837019202,70.76508099713867,0.1133061081338225
