FIPS,County,Population,Area (km^2),Latitude,Longitude
06083,Santa Barbara,423895,9813.667,34.537378,-120.038485
06085,Santa Clara,1781642,3377.518,37.220777,-121.690622
06087,Santa Cruz,262382,1572.555,37.012488,-122.007205
06089,Shasta,177223,9964.778,40.760522,-122.04355
06091,Sierra,3240,2492.113,39.576925,-120.521993
06093,Siskiyou,44900,16439.542,41.587986,-122.533287
06095,Solano,413344,2347.027,38.267226,-121.939594
06097,Sonoma,483878,4578.96,38.532574,-122.945194
06099,Stanislaus,514453,3923.02,37.562384,-121.002656
06101,Sutter,94737,1575.983,39.035257,-121.702758
06103,Tehama,63463,7671.986,40.126156,-122.232276
06105,Trinity,13786,8307.638,40.647724,-123.114404
06107,Tulare,442179,12532.05,36.230453,-118.780542
06109,Tuolumne,55365,5890.746,38.021451,-119.964708
06111,Ventura,823318,5719.684,34.358742,-119.133143
06113,Yolo,200849,2651.002,38.679268,-121.903178
06115,Yuba,72155,1667.453,39.270026,-121.34428
08001,Adams,441603,3066.278,39.874325,-104.331872
08003,Alamosa,15445,1873.445,37.568442,-105.788041
08005,Arapahoe,572003,2086.074,39.644632,-104.331733
08007,Archuleta,12084,3510.765,37.202395,-107.050863
08009,Baca,3788,6623.476,37.303144,-102.535457
08011,Bent,6499,3991.386,37.931891,-103.077584
08013,Boulder,294567,1917.549,40.094826,-105.398382
08014,Broomfield,55889,87.024,39.953383,-105.052125
08015,Chaffee,17809,2628.716,38.738246,-106.316972
08017,Cheyenne,1836,4613.879,38.835387,-102.604585
08019,Clear Creek,9088,1026.913,39.689403,-105.670791
08021,Conejos,8256,3343.561,37.213407,-106.176447
08023,Costilla,3524,3186.619,37.277547,-105.42894
08025,Crowley,5823,2072.842,38.321956,-103.787562
08027,Custer,4255,1916.396,38.101994,-105.373515
08029,Delta,30952,2974.858,38.861756,-107.864757
08031,Denver,600158,400.494,39.761849,-104.880625
08033,Dolores,2064,2766.366,37.747602,-108.530383
08035,Douglas,285465,2183.022,39.326435,-104.926199
08037,Eagle,52197,4381.718,39.630638,-106.692944
08039,Elbert,23086,4794.113,39.310817,-104.117928
08041,El Paso,622263,5515.501,38.827383,-104.527472
08043,Fremont,46824,3972.863,38.455658,-105.421438
08045,Garfield,56389,7655.584,39.599352,-107.90978
08047,Gilpin,5441,389.171,39.861082,-105.528947
08049,Grand,14843,4842.222,40.123289,-106.095876
08051,Gunnison,15324,8442.401,38.669679,-107.078108
08053,Hinsdale,843,2908.992,37.811625,-107.383405
08055,Huerfano,6711,4126.465,37.687815,-104.959928
08057,Jackson,1394,4198.273,40.663432,-106.329248
08059,Jefferson,534543,2004.736,39.58646,-105.245601
08061,Kiowa,1398,4625.529,38.388466,-102.75621
08063,Kit Carson,8270,5598.754,39.30534,-102.603023
08065,Lake,7310,994.319,39.204316,-106.349696
08067,La Plata,51334,4402.223,37.287367,-107.839718
08069,Larimer,299630,6821.909,40.663091,-105.482131
08071,Las Animas,15507,12368.092,37.318831,-104.04411
08073,Lincoln,5467,6698.802,38.99374,-103.507555
08075,Logan,22709,4778.177,40.728091,-103.090464
08077,Mesa,146723,8653.47,39.019492,-108.461837
08079,Mineral,712,2273.188,37.651478,-106.9323
08081,Moffat,13795,12304.807,40.573984,-108.204521
08083,Montezuma,25535,5283.968,37.338025,-108.595786
08085,Montrose,41276,5808.296,38.413427,-108.263042
08087,Morgan,28159,3350.779,40.262354,-103.807092
08089,Otero,18831,3288.518,37.88417,-103.72126
08091,Ouray,4436,1404.318,38.1506,-107.767133
08093,Park,16206,5725.565,39.118914,-105.717648
08095,Phillips,4442,1782.027,40.594712,-102.345105
08097,Pitkin,17148,2520.564,39.217533,-106.915943
08099,Prowers,12551,4258.775,37.958181,-102.392161
08101,Pueblo,159063,6210.261,38.170658,-104.489893
08103,Rio Blanco,6666,8347.047,39.972606,-108.200685
08105,Rio Grande,11982,2362.944,37.485763,-106.453214
08107,Routt,23509,6133.445,40.48316,-106.985289
08109,Saguache,6108,8210.895,38.033952,-106.246675
08111,San Juan,699,1005.624,37.781075,-107.670257
08113,San Miguel,7359,3337.522,38.009374,-108.427326
08115,Sedgwick,2379,1422.95,40.871568,-102.355358
08117,Summit,27994,1603.922,39.621023,-106.137555
08119,Teller,23350,1447.712,38.871994,-105.182552
08121,Washington,4814,6536.878,39.965413,-103.209605
08123,Weld,252825,10403.453,40.555794,-104.383649
08125,Yuma,10043,6134.915,40.000631,-102.422649
09001,Fairfield [6],916829,2167.619,41.228103,-73.366757
09003,Hartford [6],894014,1944.105,41.806053,-72.732916
09005,Litchfield [6],189927,2446.405,41.791897,-73.235428
09007,Middlesex [6],165676,1137.17,41.434525,-72.524227
09009,New Haven [6],862477,2232.716,41.349717,-72.900204
09011,New London [6],274055,1998.692,41.47863,-72.103452
09013,Tolland [6],152691,1080.147,41.858076,-72.340977
09015,Windham [6],118428,1350.523,41.824999,-71.990702
10001,Kent,162310,2067.667,39.097088,-75.502982
10003,New Castle,538479,1279.461,39.575915,-75.644132
10005,Sussex,197145,3098.638,38.677511,-75.335495
11001,District of Columbia [7],601723,177.0,38.904149,-77.017094
12001,Alachua,247336,2509.202,29.67574,-82.357221
12003,Baker,27115,1525.427,30.324442,-82.302284
12005,Bay,168852,2675.854,30.237563,-85.631348
12007,Bradford,28520,778.262,29.946934,-82.166796
12009,Brevard,543376,4032.599,28.298276,-80.700384
12011,Broward,1748066,3426.198,26.19352,-80.476658
12013,Calhoun,14625,1487.464,30.388801,-85.197916
12015,Charlotte,159978,2222.989,26.868826,-81.940858
12017,Citrus,141236,2002.823,28.843628,-82.524796
12019,Clay,190865,1666.782,29.987116,-81.858147
12021,Collier,321520,5969.962,26.118713,-81.400884
12023,Columbia,67531,2075.43,30.221305,-82.623127
12027,DeSoto,34862,1656.25,27.190581,-81.806253
