,State,County,FIPS,PERPOV10,METRO13,SNAPSPTH17,REDEMP_SNAPS17,PCT_SNAP17,PC_SNAPBEN17,PCT_NSLP17,PCT_SBP17,PCT_SFSP17,PCT_WIC17,PCT_CACFP17,PCT_OBESE_ADULTS17,GROCPTH16,SUPERCPTH16,CONVSPTH16,SPECSPTH16,WICSPTH16,FFRPTH16,FSRPTH16,PC_WIC_REDEMP16,REDEMP_WICS16,PCT_WICINFANTCHILD16,PCT_WICWOMEN16,RECFACPTH16,POVRATE15,MEDHHINC15,FDPIR15,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,FOODINSEC_15_17,VLFOODSEC_15_17,PopulationEstimate2017,LogPopulationEstimate2017
312,CT,New Haven,9009,0,1,-0.1973413788787573,-0.13339954603923515,0.45338086541779316,-0.42006290204266733,-0.01974011505462197,0.6419181542528234,-0.2277607689004558,-0.40565521173232827,-1.5686926298650081,0.6717915227884785,-0.3121106075349012,0.168404488826111,-0.5608160233589008,-0.07151262669229738,-0.4989777009313552,0.873554036178034,0.21785671288973846,-0.41608050754228953,0.17353643177040262,-0.048320101573585884,0.1523720604041596,0.8697397874897047,-0.3818453793088038,0.27490806412343266,-0.16304374452966952,0.6731708758522555,0.5080385253327048,-0.06936943154731813,-0.5173319259959526,-0.8518821458643324,1.2107332824840258,1.9194200769130032
584,ID,Minidoka,16067,0,0,-0.17741514703892902,-0.45563028865043453,0.5618809615241893,-0.10124572366310651,-1.1670130662382199,-1.0770112631582263,-0.21312534045088255,-1.2053014712122125,-0.8527731341621075,-0.22934792417383917,-0.11486240149420268,0.1622507949590387,-0.014221001219586473,0.13645731933672256,0.008731899642488718,-0.33527224976875164,0.022007924124333614,-1.1672516664854085,-0.8011882282910048,-1.2886414430633948,-1.22503216606846,0.5170391979333044,-0.39737646031100954,0.14884484917167098,-0.16304374452966952,-0.3567581703994166,-0.29575741314783444,-0.1300332780742896,-0.836478071523692,-1.0415044548371448,-0.17483687800516814,0.3025876911661165
255,CO,Conejos,8021,0,0,-0.15340900054608508,1.0849515189437504,-0.5440720357511262,0.13895959004649108,-0.812230511283158,-1.0159791920716712,0.35453099049111486,-1.2230125820357391,-0.5693875685166041,-1.7913229655751908,-0.3654991441722717,-0.17506691770381708,-0.1446547423723951,0.2631554053681649,-0.2807911401637335,0.3458712038845847,0.036960171208545126,-0.47945303735389755,-0.23231723606242533,-0.5697178646066721,-1.5873175157827049,0.7734169313961198,-0.5682183513352701,0.9082198607532848,-0.16304374452966952,0.3002279413256659,-0.49741102306642915,-0.5722897365113659,0.7136603496110443,1.233963252836603,1.374836758689874,1.9880659288163027
2757,TX,Victoria,48469,0,1,-0.4503102383511036,-0.3503109146792791,1.6137921827669466,-0.9102091065339705,1.1390375930005951,1.2235940377199268,1.0186877281963946,1.638241938016803,0.6134336584465845,1.6330069328816161,0.057584918242317276,1.089543888450756,-0.27230983964264777,-0.7386764743206182,-2.0056044830359323e-05,0.04295740927626371,-0.4638259616784247,-4.626079245392598e-05,-0.00017685168429972155,1.3891592060994389,1.0408815863166248,-0.3639030534929938,0.28599110378603343,-0.7550535013238122,-0.16304374452966952,-0.5756759774285441,-0.4784867473776926,-0.1168296193856599,-0.01581655445236081,-0.2830152189458959,-0.24071730952813225,-0.13934360000492474
1203,MD,Garrett,24023,0,0,0.08191481143981931,-0.3207317812829255,1.1381159659046591,-0.04647515528730777,0.4424666521119526,0.6551783986734172,0.652024655017854,0.9842886630374668,-0.45388937693500114,1.3326271172275101,-0.15044932722002982,0.04239625239754318,0.6928675440409059,-0.22694776122372343,-0.03166426138673263,0.09690742503194938,-0.4871230364751969,-0.11210129274047673,-0.306313274864499,1.3544771797671276,0.8990967852414911,-0.6740743331898937,0.33258434679264953,-0.6817797636672005,-0.16304374452966952,-0.7759125140274222,-0.644810625605498,0.06992656042266159,1.5799141731863382,1.897641334241445,-0.15542830708106764,0.3917319106129042
578,ID,Kootenai,16055,0,1,-0.9315423394150755,2.5123377242594436,-0.10783157303107661,0.06787705605523667,-1.604529274199582,-1.4237776602117191,-0.5590467095538687,-0.039872722762109215,-0.7736595096044067,-1.2506392973977998,-0.4343197708173327,0.33757763722819517,-0.8354545166509258,0.22494283982792734,-0.667003273485612,0.013633998175028752,-0.1652958109780935,0.7879093720692735,1.9136156588915096,0.39819060651450255,-0.09889350388481699,0.7085402905346778,-0.31972105529998196,1.1397000993833981,-0.16304374452966952,-0.232054445828643,-0.507503531044567,-0.8178634538479,-0.9276626845316174,-0.9466933003507391,0.2838005959826473,1.2898544103686964
605,IL,Christian,17021,0,0,-0.9685465095917937,0.9336362659287515,0.849408021204656,-0.43526118320535334,0.7373539991122273,0.8805198032457455,-0.04290625999616554,0.3243855221566701,-0.15799263588886872,-0.07915801634678624,-0.388282829532482,-0.027694409803314942,-0.5910368403891055,0.024755544235802743,-0.5374542658539144,0.7576028228321325,0.040842751897899175,0.005207921480738699,0.6084529799385596,0.3074583308733955,0.3540518907462648,0.4683684257774102,-0.5682183513352701,1.0667502235506832,-0.16304374452966952,0.33304821386765154,0.0019152771771678127,-0.7767368425466,0.07536805855556453,-0.6622598368915199,2.452254188743411,2.3193043719927866
1335,MN,Faribault,27043,0,0,0.3613397154898227,-0.7252477230038886,-0.8875214941136795,-0.897346658376685,0.5520622727177146,-0.4714754063961535,-0.03926984501679655,0.0422367429076174,-0.09540507180807088,0.5216016149614255,-0.30129081191178625,1.8390032441254431,-0.4890060724860814,-0.7386764743206182,-0.20644502422248762,0.32500251913434,-0.16049573264694247,-0.5793011202338102,-0.3701970176664544,-0.05524471061716812,-0.23913981666232653,-0.14190879076744736,-0.8167156473705582,0.39360342258154607,-0.16304374452966952,-0.9839671479285046,-0.8838493084890136,-0.5558810200792897,-0.7452934585157667,-0.3778263734323017,-0.2104828221284968,0.09964212871861797
484,GA,Marion,13197,1,1,-0.7053130113313577,-1.0110356595562064,-1.535730991819408,-0.97476436182261,0.6334765299750738,-0.6413265970593326,0.23012809332585124,-0.6967863189050428,0.4625460112413678,0.16114583617649764,-0.08152306232544326,-0.813096324736329,-0.7173772226368814,-0.7386764743206182,0.45190363237051745,0.059703123115152266,-0.5699263033502947,-0.4461447650683748,-0.7162308347275103,-1.039184072029209,-0.6968410115798552,1.062009037692668,-0.7701224043639416,0.2461653272526071,0.8594781024009126,-0.4974887217719492,-0.4909926241903925,-0.3365177482881917,0.21214497806745333,0.4754740169453531,-0.2713181663618912,-0.5202935087682533
914,KS,Ellsworth,20053,0,0,-0.26792752390275637,1.3799095818344553,0.7233056449455918,0.7394449397981756,-0.23402370195174982,0.029453560914876373,1.2090427617269333,0.22571392952454689,-0.014589458489586487,-1.040373426439926,-0.5329278063846441,0.028570478550032637,-0.18714029772655597,-0.008658048921833274,-0.5771541729704609,-0.10749399061032144,0.2245302389200843,-0.06120390371228536,0.6810293526650119,1.3657627920961073,0.6525127538429537,0.49357419307074357,0.006431645746334065,-0.5090804460743247,-0.16304374452966952,0.5882372533785066,0.553328654616053,-0.21792572066196123,-0.42614731298802644,-0.8518821458643324,1.3063947441561938,1.9602853158271185
