,State,County,Population_Estimate_2015,LACCESS_POP15,LACCESS_LOWI15,LACCESS_HHNV15,LACCESS_SNAP15,LACCESS_CHILD15,LACCESS_SENIORS15,LACCESS_WHITE15,LACCESS_BLACK15,LACCESS_HISP15,LACCESS_NHASIAN15,LACCESS_NHNA15,LACCESS_MULTIR15,FOODINSEC_15_17,VLFOODSEC_15_17,MEDHHINC15,POVRATE15,GROC15,SUPERC15,CONVS15,SPECS15,WICS15,FFR15,SNAPS15
2427,SD,Ziebach,2838,1047.091303,744.234417,60.56011996,136.6210723,385.7230536,93.0992268,232.723643,0.718580638,23.28192235,1.000000022,774.3033161,38.3457631,11.4,4.3,33239,47.1,-0.050183952,0,2.100367905,0,1,1.050183952,0.970726028
2428,TN,Anderson,75485,22423.20523,7031.463454,1097.690144,1437.792255,4795.339243,4256.848335,20211.49747,964.9070029,606.146101,390.4101357,83.9436498,763.0314027,12.9,5.7,44488,19.7,11.8996321,2,50.60220743,6,11.94981605,63.15055186,80.26438551
2429,TN,Bedford,46922,6177.858239,2983.991309,511.8603657,589.7630365,1727.969691,672.1600089,4629.472097,767.3931772,910.0620819,27.52049815,26.33924631,710.4891725,12.9,5.7,44734,17,6.899632095,1,26.84944814,2.050183952,6,24.05018395,44.68013242
2430,TN,Benton,16184,2221.329844,1082.363859,295.2440416,289.059902,494.698899,394.1883289,2038.852798,120.2071676,30.10334002,5.322836665,11.95914941,44.98787948,12.9,5.7,36201,20.5,6.050183952,1,11.8996321,1.050183952,4,7,17.86230072
2431,TN,Bledsoe,14489,395.6119428,210.908073,256.1488705,34.90291299,130.4732248,62.9056877,330.1640262,56.50176443,6.128935748,0,1.05552547,7.890627552,12.9,5.7,39730,26.1,0.949816048,0,9.250919762,0,1,-0.050183952,13.84914156
2432,TN,Blount,126869,42345.43842,14302.80688,1532.116921,2317.309766,9456.738627,7162.074438,39400.33492,1119.262677,1297.472019,365.5081143,155.3133353,1293.378852,12.9,5.7,49532,13.1,14.8996321,2,71.25091976,10.15055186,10.94981605,64.05018395,98.22705414
2433,TN,Bradley,103714,29457.10304,11906.14832,1075.255961,1933.246692,7122.782252,3516.990114,26327.03516,1411.77051,1588.898928,288.3218653,89.18729034,1328.838207,12.9,5.7,43772,18.1,13.84944814,2,80.70257533,3,11,75.35128767,116.6691194
2434,TN,Campbell,39683,7790.571542,4113.127375,767.3384651,766.5762825,1858.355426,1242.533136,7608.113802,17.3321583,102.7575037,13.60739558,17.87834128,132.6398455,12.9,5.7,33092,26.2,8,1,32.65239138,-0.050183952,6.949816048,28.20073581,44.93013242
2435,TN,Cannon,13743,319.8339099,146.2948394,198.9551226,31.83844333,73.56176619,42.52687616,300.244333,11.75252284,3.957759926,0,0.870239576,6.96681031,12.9,5.7,43864,16.4,-0.100367905,0,9.250919762,0,2,5.050183952,11.11709589
2436,TN,Carroll,27968,2483.601819,963.8983692,432.3245712,151.72643,533.9899066,475.3586655,2257.380603,130.9135593,31.65462223,11.24699411,37.26792855,43.79494129,12.9,5.7,38412,21.1,5.949816048,1,23.15055186,0,5.899632095,11.8996321,35.45134898
