FIPS,County,NEAREST_1,NEAREST_2,NEAREST_3,NEAREST_4,NEAREST_5,NEAREST_6,NEAREST_7,NEAREST_8,NEAREST_9,NEAREST_10,NEAREST_11,NEAREST_12,NEAREST_13,NEAREST_14,NEAREST_15,NEAREST_16,NEAREST_17,NEAREST_18,NEAREST_19,NEAREST_20
2198,Prince of Wales-Hyder,2198,12047,47031,29133,35047,46007,49033,51093,40105,19141,36011,19157,37123,21039,51800,28047,31077,53009,55025,18039
2220,Sitka,2220,26079,20113,17019,22107,50015,30039,29075,51660,39031,21103,55035,29073,45037,48345,21211,35053,8025,48035,51165
2230,Skagway,2230,55015,54045,13305,17059,53067,38033,49021,30045,51001,1129,18001,18179,19111,31185,48347,5001,29217,27165,46075
2240,Southeast Fairbanks,2240,49041,27163,20131,12011,42001,46049,48147,13211,18101,27123,38001,48219,1001,17167,28097,28015,39097,22013,23029
2261,Valdez-Cordova,2261,37063,12007,25015,27077,38009,37135,37001,36017,30041,36013,5075,37143,37189,48091,22113,47059,5065,36109,25003
2275,Wrangell,2275,2282,5117,48005,13025,19087,42065,13295,20081,48025,17069,38091,27091,55039,48235,36103,13047,16009,18003,6043
2282,Yakutat,2282,2275,5117,38091,42065,13047,13025,27091,48005,17069,13295,20081,48025,18003,19087,55039,27075,51027,49053,48235
2290,Yukon-Koyukuk,2290,20159,55091,27159,56011,48153,21111,50007,1011,8101,45065,41003,29125,17039,26055,39089,21185,39083,28017,13181
4001,Apache,4001,21047,19163,37191,19081,47123,51197,41025,12033,5037,55079,53061,42105,44003,31037,31123,16011,29009,40125,47107
4003,Cochise,4003,39157,48301,50005,26143,48101,5061,1093,29081,31063,42017,21239,13243,28021,55053,51540,30077,28063,48217,21209
4005,Coconino,4005,37131,19149,37057,26125,55045,53065,16041,47149,25009,19127,42049,36123,37091,5129,47025,47187,22071,55065,37059
4007,Gila,4007,13209,48077,20203,35029,55115,53069,30025,18095,1015,27129,55031,48227,39087,20059,29103,21019,41069,24019,1029
4009,Graham,4009,17023,34011,29047,51069,29177,39061,20179,55107,39009,26031,41059,13033,26029,41027,1007,6011,28125,1017,29007
4011,Greenlee,4011,48253,22015,16049,22119,48085,13255,27155,45049,18055,13035,34009,29107,18153,27003,48501,24043,54003,1065,12051
4012,La Paz,4012,18019,42071,50013,48143,29087,41053,13317,28025,46115,39089,38037,13181,48387,29151,1087,1011,18143,22021,17115
4013,Maricopa,4013,27095,55119,46051,8117,30093,21037,13269,1125,15009,20061,5091,51187,49019,39111,41005,5073,21117,13079,12043
4015,Mohave,4015,47027,19027,19065,12005,31091,51590,17089,47077,30029,37111,22055,17037,48233,48453,37021,22099,48031,47113,37033
4017,Navajo,4017,21157,37085,51167,19103,19147,30015,6019,40115,18151,55133,51191,1097,46121,9003,47153,18087,51810,37105,12089
4019,Pima,4019,1085,29141,42041,26053,13219,8043,28043,38041,54101,27037,17129,26019,31133,20165,8125,17125,13059,13297,18037
4021,Pinal,4021,18013,13009,1037,39141,20181,18005,55095,27025,41057,27149,12099,27121,30031,28159,24510,28007,6057,13169,30011
4023,Santa Cruz,4023,19145,51163,51678,39139,50001,42107,48109,30063,45007,51530,38065,26085,1045,28145,21029,12101,46111,26061,22025
4025,Yavapai,4025,55081,45023,18111,16015,6001,21151,33009,5097,48145,26051,19039,51145,51075,34041,20015,13007,13205,1079,48475
4027,Yuma,4027,29137,5003,24035,48237,17049,48033,28069,48459,39079,6045,18145,54077,48499,24023,30003,28099,20209,17051,49027
5001,Arkansas,5001,31059,49021,53067,20055,42021,48347,13115,19111,38033,17193,54045,48409,13305,2230,18075,37047,46117,55015,30045
