,CTYNAME,POPESTIMATE2017
1074,Lawrence County,15719
1075,Lee County,6570
1076,Leslie County,10334
1077,Letcher County,22339
1078,Lewis County,13339
1079,Lincoln County,24456
1080,Livingston County,9269
1081,Logan County,27060
1082,Lyon County,8082
1083,McCracken County,65385
1084,McCreary County,17465
1085,McLean County,9201
1086,Madison County,91226
1087,Magoffin County,12538
1088,Marion County,19395
1089,Marshall County,31382
1090,Martin County,11452
1091,Mason County,17174
1092,Meade County,28154
1093,Menifee County,6455
1094,Mercer County,21521
1095,Metcalfe County,10107
1096,Monroe County,10659
1097,Montgomery County,27928
1098,Morgan County,13188
1099,Muhlenberg County,30816
1100,Nelson County,45640
1101,Nicholas County,7130
1102,Ohio County,24182
1103,Oldham County,66415
1104,Owen County,10765
1105,Owsley County,4435
1106,Pendleton County,14573
1107,Perry County,26553
1108,Pike County,58883
1109,Powell County,12374
1110,Pulaski County,64449
1111,Robertson County,2134
1112,Rockcastle County,16698
1113,Rowan County,24517
1114,Russell County,17775
1115,Scott County,54873
1116,Shelby County,47421
1117,Simpson County,18108
1118,Spencer County,18507
1119,Taylor County,25472
1120,Todd County,12243
1121,Trigg County,14444
1122,Trimble County,8561
1123,Union County,14668
1124,Warren County,128845
1125,Washington County,12126
1126,Wayne County,20716
1127,Webster County,13018
1128,Whitley County,36214
1129,Wolfe County,7264
1130,Woodford County,26368
1132,Acadia Parish,62590
1133,Allen Parish,25621
1134,Ascension Parish,122948
1135,Assumption Parish,22526
1136,Avoyelles Parish,40980
1137,Beauregard Parish,36928
1138,Bienville Parish,13638
1139,Bossier Parish,127634
1140,Caddo Parish,246581
1141,Calcasieu Parish,202445
1142,Caldwell Parish,9950
1143,Cameron Parish,6912
1144,Catahoula Parish,9875
1145,Claiborne Parish,15969
1146,Concordia Parish,19866
1147,De Soto Parish,27340
1148,East Baton Rouge Parish,446268
1149,East Carroll Parish,7126
1150,East Feliciana Parish,19412
1151,Evangeline Parish,33708
1152,Franklin Parish,20260
1153,Grant Parish,22336
1154,Iberia Parish,72176
1155,Iberville Parish,33027
1156,Jackson Parish,15846
1157,Jefferson Parish,439036
1158,Jefferson Davis Parish,31477
1159,Lafayette Parish,242485
1160,Lafourche Parish,98426
1161,LaSalle Parish,14933
1162,Lincoln Parish,47744
1163,Livingston Parish,138228
1164,Madison Parish,11316
1165,Morehouse Parish,25641
1166,Natchitoches Parish,39021
1167,Orleans Parish,393292
1168,Ouachita Parish,155874
1169,Plaquemines Parish,23348
1170,Pointe Coupee Parish,22268
1171,Rapides Parish,131648
1172,Red River Parish,8536
1173,Richland Parish,20411
1174,Sabine Parish,24018
1175,St. Bernard Parish,46202
1176,St. Charles Parish,52749
1177,St. Helena Parish,10363
1178,St. James Parish,21367
1179,St. John the Baptist Parish,43441
1180,St. Landry Parish,83497
1181,St. Martin Parish,54171
1182,St. Mary Parish,50973
1183,St. Tammany Parish,256327
1184,Tangipahoa Parish,132497
1185,Tensas Parish,4615
1186,Terrebonne Parish,112086
1187,Union Parish,22571
1188,Vermilion Parish,60136
1189,Vernon Parish,50726
1190,Washington Parish,46633
1191,Webster Parish,39378
1192,West Baton Rouge Parish,26265
1193,West Carroll Parish,10981
